Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Market Capitalisation (Rs. Cr.)
522004,Batliboi Ltd,BATLIBOI,BATLIBOI LTD.-$,Active,X,5.0,INE177C01022,Industrial Products,211.42
522005,"Austin Engineering Co. Ltd.,",AUSTENG,AUSTIN ENGINEERING CO.LTD.,Active,X,10.0,INE759F01012,Industrial Products,58.43
522014,"United Drilling Tools Ltd.,",UNIDT,UNITED DRILLING TOOLS LTD.,Active,B,10.0,INE961D01019,Industrial Products,451.44
522017,"Fluidomat Ltd.,",FLUIDOM,FLUIDOMAT LTD.,Active,XT,10.0,INE459C01016,Industrial Products,181.78
522027,Ema India Ltd.,EMAINDIA,EMA INDIA LTD.,Active,X,10.0,INE279D01016,Industrial Products,1.92
522029,Windsor Machines Limited,WINDMACHIN,WINDSOR MACHINES LTD.,Active,T,2.0,INE052A01021,Industrial Products,417.45
522034,"Shanthi Gears Ltd.,",SHANTIGEAR,SHANTHI GEARS LTD.,Active,B,1.0,INE631A01022,Industrial Products,3461.8
522036,Miven Machine Tools Ltd.,MIVENMACH,MIVEN MACHINE TOOLS LTD.,Active,XT,10.0,INE338P01014,Industrial Products,4.71
522064,HONDA INDIA POWER PRODUCTS LIMITED,HONDAPOWER,Honda India Power Products Ltd,Active,B,10.0,INE634A01018,Industrial Products,2667.12
522073,The Hi-Tech Gears Limited,HITECHGEAR,The Hi-Tech Gears Ltd,Active,B,10.0,INE127B01011,Auto Components & Equipments,718.25
522074,"Elgi Equipments Ltd.,",ELGIEQUIP,ELGI EQUIPMENTS LTD.,Active,A,1.0,INE285A01027,Compressors- Pumps & Diesel Engines,14693.49
522091,"United Van Der Horst Ltd.,",UVDRHOR,UNITED VAN DER HORST LTD.,Active,XT,10.0,INE890G01013,Heavy Electrical Equipment,86.96
522101,Kilburn Engineering Ltd,KLBRENG-B,KILBURN ENGINEERING LTD.,Active,XT,10.0,INE338F01015,Industrial Products,578.58
522105,Birla Precision Technologies Ltd,BIRLAPREC,BIRLA PRECISION TECHNOLOGIES LTD.,Active,X,2.0,INE372E01025,Industrial Products,283.99
522108,"Yuken India Ltd.,",YUKEN,YUKEN INDIA LTD.-$,Active,B,10.0,INE384C01016,Compressors- Pumps & Diesel Engines,925.56
522113,Timken India Ltd,TIMKEN,TIMKEN INDIA LTD.,Active,A,10.0,INE325A01013,Abrasives & Bearings,23962.81
522122,Voith Paper Fabrics India Ltd,VOITHPAPR,VOITH PAPER FABRICS INDIA LTD.-$,Active,X,10.0,INE285C01015,Other Textile Products,720.4
522134,Artson Engineering Ltd,ARTSONEN,ARTSON ENGINEERING LTD.,Active,XT,1.0,INE133D01023,Industrial Products,523.71
522152,Solitaire Machine Tools Ltd,SOLIMAC,SOLITAIRE MACHINE TOOLS LTD.,Active,XT,10.0,INE410A01013,Industrial Products,29.75
522165,Indsil Hydro Power and Manganese Limited,INDSILHYD,INDSIL HYDRO POWER AND MANGANESE LTD.-$,Active,X,10.0,INE867D01018,Ferro & Silica Manganese,111.64
522171,TMT (India) ltd.,TMTIND-B1,TMT (INDIA) LTD.,Active,XT,10.0,INE182E01010,Industrial Products,1.32
522183,ITL Industries Ltd.,ITL,ITL INDUSTRIES LTD.-$,Active,X,10.0,INE478D01014,Industrial Products,75.33
522195,Frontier Springs Ltd.,FRONTSP,FRONTIER SPRINGS LTD.,Active,XT,10.0,INE572D01014,Auto Components & Equipments,272.39
522205,Praj Industries Ltd.,PRAJIND,PRAJ INDUSTRIES LTD.,Active,A,2.0,INE074A01025,Industrial Products,8737.39
522207,Rasandik Engg. Industries India Ltd,RASANDIK,RASANDIK ENGINEERING INDUSTRIES INDIA LTD.-$,Active,X,10.0,INE682D01011,Auto Components & Equipments,45.72
522209,Yogi Sung-won (India) Ltd.,YOGISUNG,YOGI SUNG-WON (INDIA) LTD.,Active,X,10.0,INE429B01011,Other Financial Services,5.86
522215,HLE GLASCOAT LIMITED,HLEGLAS,HLE Glascoat Ltd,Active,A,2.0,INE461D01028,Industrial Products,3887.72
522217,Gujarat Apollo Industries Ltd.,GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LTD.,Active,T,10.0,INE826C01016,Industrial Products,271.4
522229,Taneja Aerospace & Aviation Ltd.,TANAA,TANEJA AEROSPACE & AVIATION LTD.-$,Active,X,5.0,INE692C01020,Aerospace & Defense,703.42
522231,Conart Engineers Ltd.,CONART,CONART ENGINEERS LTD.-$,Active,X,10.0,INE714D01012,Civil Construction,15.87
522235,Minal Industries Limited,MINALIND,Minal Industries Limited,Active,XT,2.0,INE097E01028,Trading & Distributors,59.87
522237,Shivagrico Implements Ltd.,SHIVAGR,SHIVAGRICO IMPLEMENTS LTD.,Active,XT,10.0,INE092H01014,Industrial Products,9.73
522241,M.M.Forgings Ltd.,MMFL,M.M.FORGINGS LTD.-$,Active,B,10.0,INE227C01017,Castings & Forgings,2248.59
522245,Iykot Hitech Toolroom Ltd,IYKOTHITE,IYKOT HITECH TOOLROOM LTD.,Active,XT,5.0,INE079L01013,Industrial Products,12.47
522249,Mayur Uniquoters ltd.,MAYURUNIQ,MAYUR UNIQUOTERS LTD.-$,Active,B,5.0,INE040D01038,Leather And Leather Products,2507.72
522251,Cenlub Industries Ltd.,CENLUB,CENLUB INDUSTRIES LTD.,Active,XT,10.0,INE627F01011,Industrial Products,128.72
522257,Rajoo Engineers Ltd.,RAJOOENG,RAJOO ENGINEERS LTD.-$,Active,XT,1.0,INE535F01024,Industrial Products,377.06
522261,Dolphin Offshore Enterprises (India) ltd.,DOLPHINOFF,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LTD.-$,Active,T,10.0,INE920A01029,Offshore Support Solution Drilling,1.39
522267,Veejay Lakshmi Engineering Works Lt,VJLAXMIE,VEEJAY LAKSHMI ENGINEERING WORKS LTD.-$,Active,X,10.0,INE466D01019,Industrial Products,17.7
522273,Ahmedabad Steelcraft Ltd.,AHMDSTE,AHMEDABAD STEELCRAFT LTD.,Active,X,10.0,INE868C01018,Iron & Steel Products,9.37
522275,GE T&D India Limited,GET&D,GE T&D India Ltd,Active,B,2.0,INE200A01026,Heavy Electrical Equipment,8887.38
522281,Ram Ratna Wires Ltd.,RAMRAT,RAM RATNA WIRES LTD.-$,Active,B,5.0,INE207E01023,Other Electrical Equipment,1220.78
522285,Jayaswal Neco Industries Ltd,JAYNECOIND,JAYASWAL NECO INDUSTRIES LTD.,Active,B,10.0,INE854B01010,Iron & Steel Products,3013.01
522287,KALPATARU PROJECTS INTERNATIONAL LIMITED,KPIL,Kalpataru Projects International Ltd,Active,A,2.0,INE220B01022,Civil Construction,10313.71
522289,NMS RESOURCES GLOBAL LIMITED,NMSRESRC,NMS Resources Global Ltd,Active,XT,10.0,INE169F01014,Trading & Distributors,7.09
522292,CANDOUR TECHTEX LIMITED,CANDOUR,Candour Techtex Ltd,Active,XT,10.0,INE713D01055,Plastic Products - Industrial,63.19
522294,T & I Global Ltd.,TIGLOB,T & I GLOBAL LTD.,Active,XT,10.0,INE811B01010,Industrial Products,97.81
522295,Control Print (India) Ltd.,CONTROLPR,CONTROL PRINT LTD.-$,Active,B,10.0,INE663B01015,Computers Hardware & Equipments,1229.12
522650,"Bemco Hydraulics Ltd.,",BEMHY,BEMCO HYDRAULICS LTD.,Active,X,10.0,INE142E01014,Industrial Products,152.33
523007,"Ansal Buildwell Ltd.,",ANSALBU,ANSAL BUILDWELL LTD.-$,Active,X,10.0,INE030C01015,Residential- Commercial Projects,56.44
523011,"Weizmann Limited.,",WEIZMANIND,WEIZMANN LTD.,Active,T,10.0,INE080A01014,Other Textile Products,146.54
523019,B.N.Rathi Securities Ltd.,BNRSEC,B.N.RATHI SECURITIES LTD.,Active,X,10.0,INE710D01010,Other Financial Services,39.33
523021,Rishi Techtex Limited,RISHITECH,RISHI TECHTEX LTD.,Active,X,10.0,INE989D01010,Packaging,19.23
523023,Sinclairs Hotels  Ltd,SINCLAIR,SINCLAIRS HOTELS LTD.-$,Active,X,2.0,INE985A01022,Hotels & Resorts,438.61
523025,"Safari Industries (India) Ltd.,",SAFARIND,SAFARI INDUSTRIES (INDIA) LTD.,Active,A,2.0,INE429E01023,Plastic Products - Consumer,8716.09
523054,"Binayak Tex Processors  Ltd.,",ZBINTXPP,BINAYAK TEX PROCESSORS LTD.,Active,XT,10.0,INE626H01019,Other Textile Products,64.02
523062,"J.J. Finance Corporation Ltd.,",JJFINCOR,J.J.FINANCE CORPORATION LTD.,Active,XT,10.0,INE584C01011,Non Banking Financial Company (NBFC),3.53
523100,"Cosmo Ferrites Ltd.,",COSMOFE,COSMO FERRITES LTD.-$,Active,X,10.0,INE124B01018,Industrial Products,266.34
523105,CROPSTER AGRO LIMITED,CROPSTER,Cropster Agro Ltd,Active,XT,10.0,INE293E01023,Packaging,2.05
523113,Futuristic Securities Ltd,FUTURSEC,FUTURISTIC SECURITIES LTD.,Active,XT,10.0,INE425D01015,Non Banking Financial Company (NBFC),3.39
523116,"Sanco Trans Ltd.,",SANCTRN,SANCO TRANS LTD.,Active,X,10.0,INE391G01012,Logistics Solution Provider,126.0
523120,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,XT,10.0,INE628D01014,Personal Care,15.73
523127,"EIH Associated Hotels Ltd.,",EIHAHOTELS,EIH ASSOCIATED HOTELS LTD.-$,Active,B,10.0,INE276C01014,Hotels & Resorts,1421.8
523144,"Medi-Caps Ltd.,",MEDICAPQ,MEDI-CAPS LTD.-$,Active,X,10.0,INE442D01010,Pharmaceuticals,46.49
