Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-August-2023,60.81,61.45,60.49,60.64,60.796642531940071000,498590,1894,30312598.00,279849,56.13,0.96,-0.17
25-August-2023,61.35,61.75,59.95,60.80,60.759374901241980848,316430,1274,19226089.00,122203,38.62,1.80,-0.55
24-August-2023,62.99,63.25,61.30,61.54,62.188497913711608365,725451,2474,45114708.00,366448,50.51,1.95,-1.45
23-August-2023,62.00,62.90,61.75,62.31,62.354066068915494467,876842,2411,54674664.00,338434,38.60,1.15,0.31
22-August-2023,60.56,62.35,60.56,61.67,61.682458671373773719,589180,2192,36342071.00,285253,48.42,1.79,1.11
21-August-2023,60.36,61.25,60.27,60.66,60.650637511916110581,335680,1049,20359206.00,119860,35.71,0.98,0.30
18-August-2023,61.08,62.00,60.57,60.87,61.123035810242582405,414993,1202,25365632.00,184740,44.52,1.43,-0.21
17-August-2023,62.00,62.70,61.10,61.37,61.781443782873948614,818087,2704,50542596.00,305263,37.31,1.60,-0.63
16-August-2023,63.39,63.39,61.75,62.02,62.439972379536987835,351913,1273,21973438.00,156098,44.36,1.64,-1.37
14-August-2023,64.41,64.65,62.60,63.47,63.456247707752778115,847967,2909,53808804.00,355303,41.90,2.05,-0.94
11-August-2023,63.88,65.65,63.45,64.40,64.757415999958892776,583839,1642,37807905.00,240581,41.21,2.20,0.52
10-August-2023,63.33,64.43,63.00,63.63,63.784016088838368381,343095,1088,21883977.00,85656,24.97,1.43,0.30
9-August-2023,64.90,64.90,62.85,63.32,63.308276456138615493,485256,1491,30720721.00,192086,39.58,2.05,-1.58
8-August-2023,65.27,65.83,64.35,64.57,64.886003918159922088,974437,3064,63227323.00,526355,54.02,1.48,-0.70
7-August-2023,64.16,66.90,64.05,65.26,65.477956666836421308,962173,3061,63001122.00,294589,30.62,2.85,1.10
4-August-2023,64.40,65.75,63.05,63.89,64.359040633087435992,1824203,6163,117403955.00,666311,36.53,2.70,-0.51
3-August-2023,60.45,64.69,60.05,64.43,63.311660838803345398,1956120,5665,123845206.00,492808,25.19,4.64,3.98
2-August-2023,62.75,62.80,59.55,60.46,61.196579656240989009,2191768,7311,134128705.00,922012,42.07,3.25,-2.29
1-August-2023,57.99,63.25,57.99,63.01,61.520527565845979784,6766852,15277,416300305.00,2995237,44.26,5.26,5.02
31-July-2023,58.03,58.45,57.80,57.99,58.111115679784306411,340483,1127,19785847.00,163012,47.88,0.65,-0.04
28-July-2023,57.76,58.20,57.56,58.01,57.835663428094513595,500838,806,28966298.00,354848,70.85,0.64,0.25
27-July-2023,57.61,59.15,57.61,57.77,58.406643487965317795,931890,2765,54428567.00,500834,53.74,1.54,0.16
26-July-2023,56.91,57.60,56.85,57.48,57.230964180095028679,274233,968,15694619.00,101731,37.10,0.75,0.57
25-July-2023,58.49,58.49,56.61,56.78,57.314035224347451307,937363,3208,53724056.00,519431,55.41,1.88,-1.71
24-July-2023,57.51,58.85,57.51,57.92,58.243954654844458189,666091,1844,38795774.00,256039,38.44,1.34,0.41
21-July-2023,57.25,57.84,57.05,57.44,57.465044348793544181,486259,1664,27942895.00,171851,35.34,0.79,0.19
20-July-2023,57.59,58.90,56.70,57.33,58.062218905580027783,648581,2094,37658052.00,311722,48.06,2.20,-0.26
19-July-2023,57.40,57.79,57.05,57.53,57.425003600347491603,430514,1359,24722268.00,193354,44.91,0.74,0.13
18-July-2023,58.06,58.42,57.06,57.30,57.658580499678796645,228827,828,13193840.00,78789,34.43,1.36,-0.76
17-July-2023,57.71,58.25,57.50,58.14,57.820217069031440128,298154,1037,17239329.00,101012,33.88,0.75,0.43
14-July-2023,57.20,57.85,56.80,57.62,57.362937608175137275,542523,1628,31120713.00,228511,42.12,1.05,0.42
13-July-2023,59.11,59.40,56.81,57.15,57.959180204513559957,482413,1480,27960262.00,184485,38.24,2.59,-1.96
12-July-2023,58.83,59.75,58.81,59.03,59.236541371481270630,739507,2227,43805837.00,326532,44.16,0.94,0.20
11-July-2023,58.62,59.60,58.20,58.80,59.009672744519392917,759040,2678,44790702.00,382372,50.38,1.40,0.18
10-July-2023,58.39,60.50,58.30,58.58,59.314920855785592739,2256640,5769,133852423.00,923195,40.91,2.20,0.19
7-July-2023,58.00,58.30,56.65,57.47,57.364997985941661903,474167,1407,27200589.00,125064,26.38,1.65,-0.53
6-July-2023,57.75,58.95,57.33,58.42,58.388197386417773588,976055,2767,56990092.00,396560,40.63,1.62,0.67
5-July-2023,56.96,59.15,56.79,57.97,58.447675195901444594,1308949,3241,76505026.00,448224,34.24,2.36,1.01
4-July-2023,56.80,57.47,55.85,56.75,56.758484671722081794,771450,1770,43786333.00,287749,37.30,1.62,-0.05
3-July-2023,55.33,57.30,55.33,56.69,56.664251297528640262,887649,2392,50297966.00,309997,34.92,1.97,1.36
30-June-2023,53.57,56.20,53.57,55.32,55.373607579748050535,1316772,3957,72914416.00,680941,51.71,2.63,1.75
28-June-2023,54.34,54.34,53.50,53.68,53.702452133019818609,208390,1041,11191054.00,93535,44.88,0.84,-0.66
27-June-2023,53.66,54.00,53.41,53.60,53.606146735513956019,193859,985,10392034.00,97876,50.49,0.59,-0.06
26-June-2023,53.14,54.22,53.14,53.62,53.597352163543220703,309007,1325,16561957.00,154517,50.00,1.08,0.48
23-June-2023,54.50,54.74,53.40,53.71,53.904189998648871807,333055,773,17953060.00,104182,31.28,1.34,-0.79
22-June-2023,54.83,55.65,54.31,54.49,54.934558630153039463,733863,1863,40314440.00,226297,30.84,1.34,-0.34
21-June-2023,54.50,55.74,54.41,54.82,55.120062426886199394,731736,1973,40333334.00,308422,42.15,1.33,0.32
20-June-2023,54.98,54.98,54.10,54.50,54.390630641208154160,340685,1230,18530072.00,170016,49.90,0.88,-0.48
19-June-2023,53.82,54.89,53.82,54.62,54.419692093450939851,376283,1128,20477205.00,135048,35.89,1.07,0.80
16-June-2023,53.46,54.10,53.46,53.81,53.718316735713721576,278554,1230,14963452.00,104865,37.65,0.64,0.35
15-June-2023,54.00,54.20,53.35,53.50,53.750607461783733352,292611,761,15728019.00,153957,52.61,0.85,-0.50
14-June-2023,54.02,54.44,53.86,54.00,54.092041578414610287,235122,695,12718229.00,77144,32.81,0.58,-0.02
13-June-2023,54.49,54.59,53.55,54.14,54.185819799789927087,358923,1569,19448537.00,132563,36.93,1.04,-0.35
12-June-2023,53.50,54.41,53.07,54.08,53.531836193642414667,424721,1626,22736095.00,182830,43.05,1.34,0.58
9-June-2023,54.67,54.81,53.20,53.42,53.843071522760618836,430744,1142,23192580.00,195209,45.32,1.61,-1.25
8-June-2023,55.55,55.97,54.31,54.67,55.153251062604578934,847446,2064,46739402.00,194624,22.97,1.66,-0.88
7-June-2023,55.10,56.49,55.10,55.51,56.040929018013523411,942070,1806,52794478.00,459929,48.82,1.39,0.41
6-June-2023,56.08,56.08,55.22,55.43,55.482010248540816046,255451,657,14172935.00,72385,28.34,0.86,-0.65
5-June-2023,55.80,56.99,55.61,55.86,56.126035753118087168,773471,2209,43411861.00,263690,34.09,1.38,0.06
2-June-2023,55.33,56.14,55.18,55.40,55.671327913048654992,470332,1632,26184007.00,172820,36.74,0.96,0.07
1-June-2023,54.77,56.11,54.77,55.32,55.634880952052088829,361997,1037,20139660.00,107797,29.78,1.34,0.55
31-May-2023,54.99,55.75,54.62,55.02,55.041204211421445478,385713,1466,21230108.00,138479,35.90,1.13,0.03
30-May-2023,55.58,55.58,54.81,54.92,55.164639239974494461,202309,851,11160303.00,82520,40.79,0.77,-0.66
29-May-2023,54.77,56.19,54.72,55.06,55.151903224758170217,369268,1379,20365833.00,70392,19.06,1.47,0.29
26-May-2023,55.51,55.85,54.37,54.63,55.079806760054829327,299110,958,16474921.00,98825,33.04,1.48,-0.88
25-May-2023,54.46,56.15,54.46,55.46,55.259355512387485926,342846,1238,18945449.00,97735,28.51,1.69,1.00
24-May-2023,54.60,55.35,54.27,54.62,54.794280578315892732,401649,1515,22008068.00,109127,27.17,1.08,0.02
23-May-2023,55.21,55.29,54.65,54.80,55.025779451768152333,430110,1751,23667138.00,184425,42.88,0.64,-0.41
22-May-2023,55.00,55.28,54.43,55.18,55.005247930068638616,389868,1356,21444786.00,134045,34.38,0.85,0.18
19-May-2023,56.02,56.16,54.42,54.88,55.107506386150268728,794297,2650,43771727.00,230361,29.00,1.74,-1.14
18-May-2023,57.15,57.98,55.60,56.01,57.016379464230582259,1781438,5236,101571145.00,674225,37.85,2.38,-1.14
17-May-2023,53.34,56.90,53.26,56.65,55.477140928332175028,2010121,6673,111515766.00,1091329,54.29,3.64,3.31
16-May-2023,53.07,54.69,53.07,53.34,53.997759340705079290,288308,1279,15567986.00,84374,29.27,1.62,0.27
15-May-2023,52.64,53.57,52.64,53.06,53.211144816524150939,269327,832,14331198.00,77752,28.87,0.93,0.42
12-May-2023,53.25,53.50,52.89,53.23,53.165022006022700949,194265,684,10328103.00,76221,39.24,0.61,-0.02
11-May-2023,53.51,54.35,53.06,53.24,53.832835141059583795,421524,2159,22691832.00,127554,30.26,1.29,-0.27
10-May-2023,54.99,54.99,53.37,53.85,53.696864308856514942,264822,1087,14220111.00,37453,14.14,1.62,-1.14
9-May-2023,53.77,55.64,53.56,54.53,54.642340730392603691,976379,2783,53351634.00,209775,21.48,2.08,0.76
8-May-2023,53.05,53.61,52.59,53.31,53.109119622180687482,469219,1554,24919808.00,86259,18.38,1.02,0.26
5-May-2023,53.45,54.29,52.77,53.02,53.428363049852578821,739039,2600,39485644.00,227458,30.78,1.52,-0.43
4-May-2023,53.72,54.14,53.49,53.87,53.862259526644628190,360279,1073,19405441.00,102958,28.58,0.65,0.15
3-May-2023,53.90,54.67,53.20,53.73,53.974555107968600255,508157,1676,27427548.00,101219,19.92,1.47,-0.17
2-May-2023,55.80,56.31,54.15,54.69,55.472144484417383038,976216,2706,54152795.00,297954,30.52,2.16,-1.11
28-April-2023,54.50,55.55,54.10,54.62,54.811459387506745896,1024697,3520,56165138.00,435059,42.46,1.45,0.12
27-April-2023,53.07,54.60,53.07,54.37,54.162695031562359710,982341,4165,53206236.00,186895,19.03,1.53,1.30
26-April-2023,52.99,54.55,52.68,53.09,53.238961586107068797,517443,2158,27548128.00,118265,22.86,1.87,0.10
25-April-2023,52.40,53.48,52.40,52.99,53.134238461282486439,751275,3145,39918425.00,138950,18.50,1.08,0.59
24-April-2023,51.16,52.77,51.15,52.32,51.821454774370029528,441608,1886,22884769.00,77350,17.52,1.62,1.16
21-April-2023,52.79,52.80,50.70,51.24,51.897607939604716260,471560,1723,24472836.00,132138,28.02,2.10,-1.55
20-April-2023,52.51,53.25,52.26,52.62,52.718371879538047107,831167,3210,43817771.00,171675,20.65,0.99,0.11
19-April-2023,53.65,53.70,52.00,52.44,52.739375454749298713,874108,3603,46099910.00,200258,22.91,1.70,-1.21
18-April-2023,51.66,53.66,51.41,53.24,52.803816359385995590,1412498,4398,74585285.00,220341,15.60,2.25,1.58
17-April-2023,52.31,52.40,51.17,51.64,51.836054933873735945,944481,3692,48958169.00,142278,15.06,1.23,-0.67
13-April-2023,46.95,53.00,46.85,51.67,49.963091475725660981,2779087,8683,138851778.00,890781,32.05,6.15,4.72
12-April-2023,47.34,47.55,47.02,47.12,47.295338481319782941,275318,1397,13021258.00,55286,20.08,0.53,-0.22
11-April-2023,46.76,47.75,46.76,47.09,47.286316439196130902,246259,1260,11644681.00,65335,26.53,0.99,0.33
10-April-2023,46.41,47.51,46.04,46.87,46.504761038675624164,263913,994,12273211.00,68227,25.85,1.47,0.46
6-April-2023,45.86,46.83,45.86,46.54,46.526693363554097140,472964,2379,22005451.00,85037,17.98,0.97,0.68
5-April-2023,46.21,46.64,45.92,46.16,46.176849461740855404,240962,1430,11126866.00,103209,42.83,0.72,-0.05
3-April-2023,45.71,46.60,45.41,46.46,46.073252665076670355,581972,2065,26813343.00,111274,19.12,1.19,0.75
31-March-2023,45.44,45.99,44.77,45.01,45.535453808752025931,799632,3169,36411606.00,338160,42.29,1.22,-0.43
29-March-2023,43.04,45.20,43.04,45.00,44.226764095295523371,898846,2521,39753050.00,255003,28.37,2.16,1.96
28-March-2023,44.97,45.11,42.88,43.29,43.973286270751968327,1364991,3616,60023140.00,574582,42.09,2.23,-1.68
27-March-2023,46.16,46.26,44.45,44.79,45.355648659514589813,708885,2621,32151939.00,250155,35.29,1.81,-1.37
24-March-2023,47.01,47.30,45.91,46.52,46.818220363213382632,716989,1830,33568149.00,379917,52.99,1.39,-0.49
23-March-2023,47.50,47.67,47.01,47.24,47.359167173846072928,665445,1871,31514921.00,87038,13.08,0.66,-0.26
