Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2023,20.01,20.70,20.01,20.35,20.341855273052694215,426859,923,8683104.00,167923,39.34,0.69,0.34
31-July-2023,19.45,20.44,19.45,20.06,19.958470142805523698,381918,720,7622499.00,167506,43.86,0.99,0.61
28-July-2023,19.52,19.57,19.37,19.44,19.451407573684291446,130082,254,2530278.00,40122,30.84,0.20,-0.08
27-July-2023,19.53,19.89,19.40,19.48,19.626159068741241763,234779,558,4607810.00,86693,36.93,0.49,-0.05
26-July-2023,19.45,19.75,19.41,19.54,19.511706540329080579,203476,506,3970164.00,84066,41.31,0.34,0.09
25-July-2023,20.24,20.24,19.44,19.52,19.672226589890147249,141189,266,2777502.00,85681,60.69,0.80,-0.72
24-July-2023,19.46,20.05,19.46,19.74,19.777818490265548002,346604,696,6855071.00,189083,54.55,0.59,0.28
21-July-2023,19.42,19.58,19.40,19.48,19.483010210797495251,53179,174,1036087.00,17545,32.99,0.18,0.06
20-July-2023,19.52,19.76,19.43,19.48,19.597807674125433343,101536,271,1989883.00,34930,34.40,0.33,-0.04
19-July-2023,19.45,19.91,19.32,19.58,19.530265628425196099,104921,285,2049135.00,41676,39.72,0.59,0.13
18-July-2023,19.75,19.75,19.27,19.34,19.390101683329060924,292575,950,5673059.00,115699,39.54,0.48,-0.41
17-July-2023,19.32,19.59,19.30,19.41,19.454858934169278996,162690,483,3165111.00,78287,48.12,0.29,0.09
14-July-2023,19.20,20.20,19.01,19.30,19.444165397993088044,179978,419,3499522.00,67557,37.54,1.19,0.10
13-July-2023,19.45,19.58,18.95,19.05,19.272785373775472785,190890,722,3678982.00,81586,42.74,0.63,-0.40
12-July-2023,19.41,19.57,19.33,19.40,19.444292388782568719,93533,215,1818683.00,59085,63.17,0.24,-0.01
11-July-2023,19.41,19.75,19.38,19.43,19.533231662321050819,101635,412,1985260.00,59856,58.89,0.37,0.02
10-July-2023,19.45,19.87,19.31,19.42,19.592609080961435246,240349,755,4709064.00,81340,33.84,0.56,-0.03
7-July-2023,19.82,20.05,19.67,19.85,19.797645148850216688,370809,540,7341145.00,73081,19.71,0.38,0.03
6-July-2023,19.71,20.18,19.71,19.86,19.943591909521798301,234399,474,4674758.00,116229,49.59,0.47,0.15
5-July-2023,19.81,20.00,19.69,19.74,19.846596136154553817,156528,294,3106548.00,53011,33.87,0.31,-0.07
4-July-2023,19.80,20.10,19.71,19.77,19.886292793291187052,262103,613,5212257.00,108289,41.32,0.39,-0.03
3-July-2023,19.31,20.19,19.31,19.96,19.952143786861122161,517822,1008,10331659.00,75358,14.55,0.88,0.65
30-June-2023,19.81,19.89,19.60,19.63,19.770261003728624694,46666,181,922599.00,23111,49.52,0.29,-0.18
28-June-2023,19.75,20.00,19.61,19.69,19.728133886474708554,162466,520,3205151.00,85317,52.51,0.39,-0.06
27-June-2023,19.70,20.13,19.70,19.88,19.850413581453868453,235262,390,4670048.00,72349,30.75,0.43,0.18
26-June-2023,20.14,20.14,19.60,19.66,19.772408846835001053,317899,515,6285629.00,67461,21.22,0.54,-0.48
23-June-2023,20.50,20.50,19.57,19.80,20.106250543489904635,793483,980,15953968.00,408240,51.45,0.93,-0.70
22-June-2023,20.70,20.94,20.14,20.35,20.489991992346336089,1282523,1129,26278886.00,521350,40.65,0.80,-0.35
21-June-2023,20.59,21.30,20.51,20.74,20.841029941683704492,980172,1060,20427794.00,396373,40.44,0.79,0.15
20-June-2023,20.25,20.85,20.25,20.60,20.594079907947851234,1699906,979,35008000.00,281354,16.55,0.60,0.35
19-June-2023,20.37,20.67,20.31,20.43,20.398865424035848786,545402,527,11125582.00,246561,45.21,0.36,0.06
16-June-2023,20.35,21.08,20.20,20.37,20.451626750699385970,3915935,1767,80087241.00,730660,18.66,0.88,0.02
15-June-2023,20.60,20.70,20.23,20.28,20.508197207764023419,1988299,1198,40776428.00,138019,6.94,0.47,-0.32
14-June-2023,21.11,21.75,20.51,20.59,21.334736794653623792,1774660,1751,37861904.00,431590,24.32,1.24,-0.52
13-June-2023,20.50,21.75,20.42,21.11,21.189683305721411734,4482967,2395,94992651.00,916972,20.45,1.33,0.61
12-June-2023,20.32,20.77,19.90,20.22,20.383736167419156754,2309222,1742,47070572.00,353111,15.29,0.87,-0.10
9-June-2023,21.34,21.52,20.51,20.66,21.093520292002457446,3873940,1186,81715032.00,387351,10.00,1.01,-0.68
8-June-2023,22.50,22.79,20.80,21.26,21.861781003584036246,1855729,2425,40569541.00,577877,31.14,1.99,-1.24
7-June-2023,19.90,22.75,19.90,22.11,21.567911426908878497,2232371,3509,48147580.00,467818,20.96,2.85,2.21
6-June-2023,19.38,21.20,19.30,19.94,20.293898524815949031,1656878,2135,33624514.00,904298,54.58,1.90,0.56
5-June-2023,19.98,19.98,19.42,19.51,19.531927042199406604,187396,577,3660205.00,54993,29.35,0.56,-0.47
2-June-2023,19.40,20.09,19.37,19.54,19.748195148944019182,271075,793,5353242.00,85161,31.42,0.72,0.14
1-June-2023,19.19,19.48,19.18,19.28,19.325935905781195597,198177,597,3829956.00,51317,25.89,0.30,0.09
31-May-2023,19.15,19.30,19.00,19.07,19.116526993489911160,139015,542,2657484.00,62276,44.80,0.30,-0.08
30-May-2023,19.40,19.47,18.95,19.12,19.153714968498805127,184120,599,3526582.00,49530,26.90,0.52,-0.28
29-May-2023,19.60,19.60,19.25,19.32,19.335229641357762160,237479,597,4591711.00,84589,35.62,0.35,-0.28
26-May-2023,19.40,19.95,19.40,19.54,19.724971812357806614,348557,792,6875277.00,97325,27.92,0.55,0.14
25-May-2023,19.25,19.60,19.25,19.35,19.480893052230306129,258126,682,5028525.00,78711,30.49,0.35,0.10
24-May-2023,19.46,19.70,19.29,19.32,19.454484814249486196,166406,437,3237343.00,45992,27.64,0.41,-0.14
23-May-2023,19.30,19.55,19.22,19.39,19.414790041962399353,205422,581,3988225.00,86540,42.13,0.33,0.09
22-May-2023,19.15,19.37,19.15,19.27,19.293318441929281182,173702,633,3351288.00,51694,29.76,0.22,0.12
19-May-2023,19.31,19.57,19.11,19.31,19.287258158964279709,172479,547,3326647.00,71876,41.67,0.46,0.00
18-May-2023,19.40,20.08,19.40,19.54,19.652953061981546815,253398,542,4980019.00,123419,48.71,0.68,0.14
17-May-2023,19.57,19.76,19.42,19.58,19.602038381087417348,142466,578,2792624.00,47713,33.49,0.34,0.01
16-May-2023,19.75,19.75,18.65,19.52,19.506475556270706720,242373,929,4727843.00,65038,26.83,1.10,-0.23
15-May-2023,19.69,19.86,19.41,19.64,19.616726234139184992,128146,645,2513805.00,40841,31.87,0.45,-0.05
12-May-2023,19.46,20.19,19.46,19.69,19.832283271811323914,310458,884,6157091.00,103948,33.48,0.73,0.23
11-May-2023,19.42,20.08,19.42,19.82,19.824111858326127194,279854,847,5547857.00,81756,29.21,0.66,0.40
10-May-2023,19.50,19.53,19.19,19.40,19.365391278150184529,132770,426,2571143.00,18864,14.21,0.34,-0.10
9-May-2023,19.80,20.02,19.26,19.49,19.700812347247494051,371516,939,7319167.00,86384,23.25,0.76,-0.31
8-May-2023,20.49,20.49,19.65,19.76,19.832341726728025491,427757,1232,8483423.00,120887,28.26,0.84,-0.73
5-May-2023,20.86,21.10,19.97,20.06,20.505235253413554157,615634,1589,12623720.00,134352,21.82,1.13,-0.80
4-May-2023,20.20,21.30,20.20,20.89,20.856630678511693776,982916,1880,20500316.00,215992,21.97,1.10,0.69
3-May-2023,19.60,20.65,19.58,20.18,20.245743371391566989,606877,1596,12286676.00,123470,20.35,1.07,0.58
2-May-2023,19.70,20.20,19.56,19.68,19.871750199253048077,303634,908,6033739.00,96553,31.80,0.64,-0.02
28-April-2023,19.68,20.22,19.55,19.69,19.836777249586999763,593220,1655,11767573.00,109010,18.38,0.67,0.01
27-April-2023,19.69,19.70,19.34,19.40,19.442210616408447014,229004,1008,4452344.00,67063,29.28,0.36,-0.29
26-April-2023,19.00,20.10,19.00,19.55,19.625006506688876164,768440,2483,15080640.00,118570,15.43,1.10,0.55
25-April-2023,18.80,19.52,18.80,18.98,19.173559770511855084,240361,1003,4608576.00,51437,21.40,0.72,0.18
24-April-2023,18.66,19.11,18.66,18.89,18.891402989688445317,181156,668,3422291.00,54082,29.85,0.45,0.23
21-April-2023,18.94,19.22,18.54,18.78,18.847986267001188432,189325,728,3568395.00,43581,23.02,0.68,-0.16
20-April-2023,19.40,19.55,18.91,19.07,19.153577295876458025,243480,928,4663513.00,53912,22.14,0.64,-0.33
19-April-2023,19.05,19.92,18.95,19.39,19.595169831916290731,586315,1936,11488942.00,161585,27.56,0.97,0.34
18-April-2023,19.00,19.35,18.80,19.02,19.045027760509335677,559788,1345,10661178.00,171294,30.60,0.55,0.02
17-April-2023,18.82,19.23,18.82,19.04,19.009448622001536070,223948,770,4257128.00,74654,33.34,0.41,0.22
13-April-2023,19.10,19.10,18.77,18.94,18.941700349852246866,147205,579,2788313.00,42642,28.97,0.33,-0.16
12-April-2023,19.00,19.58,18.85,18.94,19.135225275752477098,401175,1425,7676574.00,81433,20.30,0.73,-0.06
11-April-2023,18.77,19.19,18.77,18.94,19.027624534886093859,294014,1454,5594388.00,53815,18.30,0.42,0.17
10-April-2023,19.26,19.43,18.63,18.76,18.942484165069554839,201927,1139,3824999.00,81633,40.43,0.80,-0.50
6-April-2023,19.06,19.67,19.03,19.27,19.396814659189379199,489304,2025,9490939.00,101921,20.83,0.64,0.21
5-April-2023,18.48,19.29,18.48,19.13,19.027976112929864300,237953,993,4527764.00,47486,19.96,0.81,0.65
3-April-2023,18.06,19.04,18.06,18.62,18.506699632893009357,358751,1601,6639297.00,79867,22.26,0.98,0.56
31-March-2023,18.50,18.80,17.92,18.09,18.377642794980398717,621643,2554,11424333.00,103716,16.68,0.88,-0.41
29-March-2023,17.00,18.79,17.00,18.49,17.752101278626859066,632710,2507,11231932.00,178165,28.16,1.79,1.49
28-March-2023,17.10,17.35,16.60,17.09,16.876408197697709367,943582,3735,15924275.00,157186,16.66,0.75,-0.01
27-March-2023,18.00,18.28,16.96,17.16,17.730386364414132406,496759,2092,8807729.00,246736,49.67,1.32,-0.84
24-March-2023,18.90,19.00,18.01,18.29,18.602835699016451423,192263,992,3576637.00,88571,46.07,0.99,-0.61
23-March-2023,18.91,19.16,18.65,18.81,18.954346503577446742,185747,674,3520713.00,83224,44.80,0.51,-0.10
22-March-2023,18.92,19.66,18.90,18.98,19.245354056084830415,248873,1131,4789649.00,36510,14.67,0.76,0.06
21-March-2023,18.90,19.31,18.82,18.86,19.011890105440557680,182757,510,3474556.00,82236,45.00,0.49,-0.04
20-March-2023,19.06,19.14,18.66,18.88,18.820373318624562811,159542,574,3002640.00,87243,54.68,0.48,-0.18
17-March-2023,19.00,19.32,18.91,19.06,19.043174819331177171,129242,495,2461178.00,59215,45.82,0.41,0.06
16-March-2023,19.24,19.28,18.32,18.97,18.788395533116948717,386041,1126,7253091.00,103445,26.80,0.96,-0.27
15-March-2023,19.25,19.38,18.65,18.96,19.134630965512528918,204886,707,3920418.00,106152,51.81,0.73,-0.29
14-March-2023,19.10,19.49,18.65,19.07,19.131722352932782267,560611,1365,10725454.00,197526,35.23,0.84,-0.03
13-March-2023,20.20,20.41,19.33,19.40,19.781029074608479428,438355,1233,8671113.00,177713,40.54,1.08,-0.80
10-March-2023,20.58,20.58,20.04,20.28,20.244130516743022312,175058,799,3543897.00,49171,28.09,0.54,-0.30
9-March-2023,20.71,21.44,20.50,20.59,21.029390137008865279,509967,2703,10724295.00,140805,27.61,0.94,-0.12
8-March-2023,20.15,21.09,20.15,20.86,20.648358452983396933,327831,778,6769172.00,83776,25.55,0.94,0.71
6-March-2023,20.06,20.89,20.06,20.56,20.624544826139014726,324052,2235,6683425.00,74486,22.99,0.83,0.50
3-March-2023,20.25,20.98,20.25,20.46,20.687611223901546482,638352,3044,13205978.00,122805,19.24,0.73,0.21
2-March-2023,20.50,20.57,20.18,20.34,20.424726331428363092,219426,1020,4481716.00,47587,21.69,0.39,-0.16
1-March-2023,19.75,20.68,19.75,20.40,20.346223909461442193,908519,4272,18484931.00,169466,18.65,0.93,0.65
28-February-2023,19.25,20.05,19.25,19.70,19.631925998956098126,344860,1481,6770266.00,87506,25.37,0.80,0.45
27-February-2023,19.90,20.10,19.30,19.40,19.527659671369596970,307397,1392,6002744.00,112871,36.72,0.80,-0.50
24-February-2023,20.00,20.50,19.90,20.20,20.163384495363925579,279439,1290,5634436.00,42172,15.09,0.60,0.20
23-February-2023,20.25,20.45,19.80,20.00,20.080703951792346919,346501,1495,6957984.00,123227,35.56,0.65,-0.25
22-February-2023,21.05,21.40,20.25,20.35,20.673909819219387478,424769,1483,8781636.00,159362,37.52,1.15,-0.70
21-February-2023,21.15,21.55,21.15,21.30,21.376961676854380717,184536,730,3944819.00,58626,31.77,0.40,0.15
20-February-2023,21.85,21.90,21.25,21.35,21.447477344705402778,191346,890,4103889.00,77096,40.29,0.65,-0.50
17-February-2023,22.10,22.35,21.75,21.85,21.980229637973977118,290283,1209,6380487.00,96614,33.28,0.60,-0.25
16-February-2023,23.15,23.35,22.00,22.20,22.536765031814536765,496314,1848,11185312.00,196342,39.56,1.35,-0.95
15-February-2023,21.65,23.90,21.35,22.90,22.624366651913090488,1918179,6011,43397585.00,437952,22.83,2.55,1.25
14-February-2023,21.70,21.95,21.40,21.70,21.620751989902896810,245615,1108,5310381.00,83467,33.98,0.55,0.00
13-February-2023,22.30,22.40,21.75,21.95,22.036975250323990011,284731,949,6274610.00,90173,31.67,0.65,-0.35
10-February-2023,22.20,22.60,22.15,22.20,22.361436778621191639,153872,675,3440799.00,50665,32.93,0.45,0.00
9-February-2023,22.45,22.50,22.10,22.20,22.251281887576963133,250607,1165,5576327.00,84110,33.56,0.40,-0.25
8-February-2023,22.10,23.80,22.05,22.50,22.919173969234648846,761376,2454,17450109.00,229582,30.15,1.75,0.40
7-February-2023,22.50,22.90,22.00,22.10,22.432946573124662709,541076,1709,12137929.00,241359,44.61,0.90,-0.40
6-February-2023,22.30,22.85,22.30,22.55,22.615401432138350547,260729,1247,5896491.00,73120,28.04,0.55,0.25
3-February-2023,22.95,23.20,21.95,22.35,22.324827288882346137,475505,1920,10615567.00,151834,31.93,1.25,-0.60
2-February-2023,22.90,23.70,22.50,22.80,23.115298013371940387,521839,1660,12062464.00,198166,37.97,1.20,-0.10
1-February-2023,23.95,24.35,22.60,23.10,23.543334497243648753,567054,2298,13350342.00,130505,23.01,1.75,-0.85
31-January-2023,23.15,24.00,23.15,23.85,23.671980236571813436,380096,1758,8997625.00,104032,27.37,0.85,0.70
30-January-2023,23.20,24.05,22.55,23.10,23.481857202939066326,808420,2347,18983203.00,212514,26.29,1.50,-0.10
27-January-2023,25.05,25.05,23.00,23.55,23.713310045960652287,830493,3137,19693738.00,184545,22.22,2.05,-1.50
25-January-2023,25.05,25.45,24.45,24.75,24.852749171727286025,663127,1931,16480529.00,172577,26.02,1.00,-0.30
24-January-2023,25.80,25.85,24.80,25.05,25.163766246438932905,840338,1992,21146069.00,167640,19.95,1.05,-0.75
23-January-2023,26.20,26.70,25.55,25.75,26.048490892619850094,766082,2224,19955280.00,182577,23.83,1.15,-0.45
20-January-2023,27.45,27.45,25.90,26.10,26.575095527799611982,880372,1662,23395970.00,327721,37.23,1.55,-1.35
19-January-2023,27.05,27.95,26.80,27.20,27.359138469561143106,2040369,2516,55822738.00,441101,21.62,1.15,0.15
18-January-2023,25.30,28.20,25.20,27.20,27.140715887297325107,3761011,5122,102076531.00,1039385,27.64,3.00,1.90
17-January-2023,25.35,25.65,25.10,25.25,25.273759059209626692,248642,622,6284118.00,43173,17.36,0.55,-0.10
16-January-2023,26.20,26.20,25.20,25.30,25.619715645849468702,502261,1254,12867784.00,115946,23.08,1.00,-0.90
13-January-2023,25.00,26.90,24.90,25.90,25.981437244918266684,1633055,3588,42429116.00,406798,24.91,2.00,0.90
12-January-2023,25.25,25.25,24.20,24.85,24.683123494512373314,1156602,2133,28548550.00,261825,22.64,1.05,-0.40
11-January-2023,25.15,25.55,24.60,24.90,25.031729113062708656,752432,1598,18834674.00,100783,13.39,0.95,-0.25
10-January-2023,25.80,25.90,24.60,24.80,25.300844944175685116,910356,2239,23032776.00,157404,17.29,1.30,-1.00
9-January-2023,24.80,26.40,24.75,25.65,25.547636148146644214,1576114,4263,40265987.00,291493,18.49,1.65,0.85
6-January-2023,25.20,25.30,24.40,24.65,24.751868710463515953,316796,1513,7841293.00,98189,30.99,0.90,-0.55
5-January-2023,25.80,25.80,24.95,25.10,25.310864641598757998,313043,1434,7923389.00,80242,25.63,0.85,-0.70
4-January-2023,26.45,26.45,25.30,25.50,25.806022075097603827,832703,3317,21488752.00,169210,20.32,1.15,-0.95
3-January-2023,26.30,26.50,25.75,26.10,26.115129310637181866,884614,2839,23101809.00,78054,8.82,0.75,-0.20
2-January-2023,26.35,26.60,25.80,26.20,26.148566456406169238,806777,3128,21096062.00,191634,23.75,0.80,-0.15
30-December-2022,26.20,26.80,26.00,26.20,26.294797042624492636,421049,1742,11071398.00,220640,52.40,0.80,0.00
29-December-2022,25.75,26.70,25.45,26.15,26.066682627003096902,781103,2736,20360764.00,220748,28.26,1.25,0.40
28-December-2022,23.80,26.80,23.80,25.75,25.910582923692933328,2637069,7006,68327995.00,524044,19.87,3.00,1.95
27-December-2022,24.55,24.55,23.55,24.00,23.972346368715083798,318620,1383,7638069.00,111928,35.13,1.00,-0.55
26-December-2022,22.30,24.20,21.90,23.70,23.433082830581296127,667990,2099,15653065.00,170924,25.59,2.30,1.40
23-December-2022,24.60,24.60,21.70,22.05,23.253830218830111203,975597,2899,22686367.00,376594,38.60,2.90,-2.55
22-December-2022,26.40,26.40,24.10,24.60,24.838556043049740505,1076708,3405,26743872.00,382219,35.50,2.30,-1.80
21-December-2022,29.85,29.85,25.00,25.60,27.257063428704078917,1236333,3017,33698807.00,451594,36.53,4.85,-4.25
20-December-2022,28.55,29.45,27.75,29.00,28.560797656049393125,1043708,2568,29809133.00,367423,35.20,1.70,0.45
19-December-2022,29.55,30.15,27.80,28.40,29.070728807429047492,1540009,3973,44769184.00,486108,31.57,2.35,-1.15
16-December-2022,28.15,30.35,27.30,29.25,28.983887985109277265,2941966,7647,85269613.00,906667,30.82,3.05,1.10
15-December-2022,25.50,29.35,25.50,27.90,28.347510587116928088,4451873,8045,126199517.00,961195,21.59,3.85,2.40
14-December-2022,25.50,26.75,24.65,25.65,25.859597684938039290,1088351,3144,28144319.00,354097,32.54,2.10,0.15
13-December-2022,25.60,26.25,25.30,25.45,25.805430663527217964,549141,1749,14170820.00,239740,43.66,0.95,-0.15
12-December-2022,25.30,25.70,24.70,25.55,25.133953720275192832,537514,2014,13509852.00,286593,53.32,1.00,0.25
9-December-2022,24.05,26.80,24.05,25.50,25.737987191842791607,2543223,7167,65457441.00,941138,37.01,2.75,1.45
8-December-2022,24.10,24.45,23.85,24.00,24.163689949411585528,242941,791,5870351.00,144141,59.33,0.60,-0.10
7-December-2022,24.10,24.85,23.80,24.05,24.453424694671492280,442638,1663,10824015.00,163029,36.83,1.05,-0.05
6-December-2022,23.75,24.50,23.60,24.20,24.005235656509752871,384861,1376,9238679.00,212961,55.33,0.90,0.45
5-December-2022,23.80,24.30,23.55,23.65,23.906753625107594517,302060,1257,7221274.00,98329,32.55,0.75,-0.15
2-December-2022,23.80,24.35,23.05,23.75,23.721356549790441806,239313,1077,5676829.00,73392,30.67,1.30,-0.05
1-December-2022,23.70,24.10,23.10,23.25,23.702509643501524295,257168,1093,6095527.00,114124,44.38,1.00,-0.45
30-November-2022,24.20,24.35,23.40,23.65,23.728904564599527445,292030,1289,6929552.00,140745,48.20,0.95,-0.55
29-November-2022,25.05,25.20,24.00,24.15,24.595649043606857231,411128,1348,10111960.00,236451,57.51,1.20,-0.90
28-November-2022,24.65,25.40,23.55,24.95,24.414930212988976272,957843,3088,23385670.00,389319,40.65,1.85,0.30
25-November-2022,22.65,24.85,22.65,24.50,24.168435547373318458,799564,2212,19324211.00,281196,35.17,2.20,1.85
24-November-2022,23.25,23.70,22.70,22.85,23.187311803600092169,512098,1367,11874176.00,249628,48.75,1.00,-0.40
23-November-2022,21.40,23.20,21.35,22.80,22.216515829086966073,705505,1832,15673863.00,430533,61.02,1.85,1.40
22-November-2022,21.30,21.65,21.25,21.30,21.445256051201460892,113903,530,2442679.00,41065,36.05,0.40,0.00
21-November-2022,21.25,21.95,21.05,21.35,21.448933002931859234,220338,813,4726015.00,97105,44.07,0.90,0.10
18-November-2022,21.55,21.65,21.20,21.30,21.356282502143863044,127107,495,2714533.00,71487,56.24,0.45,-0.25
17-November-2022,21.55,21.70,21.40,21.55,21.544692166087134383,102669,557,2211972.00,38318,37.32,0.30,0.00
16-November-2022,21.10,22.00,21.05,21.50,21.462112989469175285,550954,1585,11824637.00,205142,37.23,0.95,0.40
15-November-2022,21.35,21.40,21.00,21.05,21.193545200316128640,131592,633,2788901.00,79548,60.45,0.40,-0.30
14-November-2022,21.60,21.75,21.20,21.40,21.481721633019555313,135871,594,2918743.00,54531,40.13,0.55,-0.20
11-November-2022,22.00,22.15,21.50,21.60,21.758694323024556728,109583,647,2384383.00,59114,53.94,0.65,-0.40
10-November-2022,22.45,22.65,21.75,21.80,22.174498157226178122,279470,919,6197107.00,141643,50.68,0.90,-0.65
9-November-2022,21.20,22.55,21.20,22.15,21.885990770432681389,440324,1545,9636927.00,247027,56.10,1.35,0.95
7-November-2022,21.70,21.70,21.15,21.30,21.326768694188039327,199554,713,4255842.00,76039,38.10,0.55,-0.40
4-November-2022,21.60,21.70,21.20,21.30,21.437676806482031222,114532,660,2455300.00,67250,58.72,0.50,-0.30
3-November-2022,20.60,21.70,20.55,21.60,21.378092977070763585,396786,1101,8482528.00,190688,48.06,1.15,1.00
2-November-2022,20.85,21.05,20.70,20.90,20.876745402900284048,133780,628,2792891.00,69085,51.64,0.35,0.05
1-November-2022,20.85,21.15,20.75,20.85,20.945877644664096393,115941,493,2428486.00,35094,30.27,0.40,0.00
31-October-2022,20.55,21.15,20.55,20.85,20.828709508665000373,120427,478,2508339.00,73196,60.78,0.60,0.30
28-October-2022,20.80,20.90,20.50,20.60,20.700414261869809158,99454,560,2058739.00,67017,67.38,0.40,-0.20
27-October-2022,20.90,21.10,20.60,20.80,20.781014446138140321,71507,528,1485988.00,43887,61.37,0.50,-0.10
25-October-2022,20.85,21.05,20.75,20.85,20.893459095034357578,123408,420,2578420.00,80399,65.15,0.30,0.00
24-October-2022,21.15,21.15,20.70,20.80,20.835599129559866158,42737,307,890451.00,30608,71.62,0.45,-0.35
21-October-2022,21.00,21.25,20.70,20.80,21.002416366858186113,111738,564,2346768.00,68220,61.05,0.55,-0.20
20-October-2022,21.35,21.35,20.95,21.00,21.105259638956986850,89740,503,1893986.00,54210,60.41,0.40,-0.35
19-October-2022,20.15,21.70,20.15,21.10,21.266958587698831250,187722,784,3992276.00,63677,33.92,1.55,0.95
18-October-2022,21.45,21.70,21.25,21.35,21.447568306281504075,100979,387,2165754.00,48720,48.25,0.45,-0.10
17-October-2022,21.75,21.75,21.25,21.35,21.449817648509390128,77049,454,1652687.00,40261,52.25,0.50,-0.40
14-October-2022,21.85,22.60,21.25,21.40,21.921314344477824216,469679,1179,10295981.00,178233,37.95,1.35,-0.45
13-October-2022,21.65,21.80,21.15,21.45,21.566244460727869081,143295,676,3090335.00,50658,35.35,0.65,-0.20
12-October-2022,21.70,22.15,21.55,21.65,21.779675893781195551,228999,958,4987524.00,45461,19.85,0.60,-0.05
11-October-2022,21.85,23.55,21.40,21.65,22.168301899411449973,598080,2287,13258418.00,135700,22.69,2.15,-0.20
10-October-2022,22.30,22.30,21.65,21.85,21.907140644361833952,219504,942,4808705.00,62026,28.26,0.65,-0.45
7-October-2022,21.95,22.75,21.95,22.30,22.343291133505253897,264851,1203,5917643.00,66453,25.09,0.80,0.35
6-October-2022,22.00,22.35,21.85,22.10,22.213025915190268040,301522,1188,6697716.00,98526,32.68,0.50,0.10
4-October-2022,21.85,21.90,21.45,21.80,21.729639417130336787,254671,990,5533909.00,50177,19.70,0.45,-0.05
3-October-2022,21.60,22.05,21.05,21.15,21.603978704064407219,192525,964,4159306.00,78313,40.68,1.00,-0.45
30-September-2022,21.00,21.90,20.85,21.70,21.289935202445538649,347081,1392,7389332.00,73443,21.16,1.05,0.70
29-September-2022,21.75,22.15,20.60,21.00,21.467311338788845421,258943,1231,5558810.00,80024,30.90,1.55,-0.75
28-September-2022,21.60,21.90,21.35,21.40,21.684368238068610050,164524,927,3567599.00,49405,30.03,0.55,-0.20
27-September-2022,21.70,22.35,21.70,21.90,22.054746488518432522,340241,1305,7503929.00,53103,15.61,0.65,0.20
26-September-2022,22.50,22.50,21.55,21.80,21.828074721644787424,351170,1565,7665365.00,98006,27.91,0.95,-0.70
23-September-2022,23.10,23.50,22.60,22.75,23.073109279583208779,374672,1377,8644848.00,96334,25.71,0.90,-0.35
22-September-2022,23.40,23.45,22.95,23.15,23.163891630456609884,234051,930,5421532.00,65651,28.05,0.50,-0.25
21-September-2022,23.35,23.70,23.00,23.10,23.299567465446952371,160912,821,3749180.00,60464,37.58,0.70,-0.25
20-September-2022,23.80,24.10,23.30,23.40,23.670893034261062845,251043,930,5942412.00,76535,30.49,0.80,-0.40
