Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-August-2023,22.11,24.10,21.81,23.79,23.314268692142458548,2093072,3495,48798443.00,983879,47.01,2.29,1.68
25-August-2023,22.21,23.02,21.60,21.97,22.293678482706484234,989446,1717,22058391.00,418391,42.29,1.42,-0.24
24-August-2023,21.40,22.87,21.40,22.47,22.170438337929067224,1640652,2939,36373974.00,610725,37.22,1.47,1.07
23-August-2023,21.30,21.63,21.10,21.22,21.323003152980270796,411674,765,8778126.00,93073,22.61,0.53,-0.08
22-August-2023,20.50,22.25,20.45,21.04,21.493245448676999253,1786129,2817,38389709.00,491580,27.52,1.80,0.54
21-August-2023,20.59,20.85,20.26,20.45,20.672369234566527001,3305996,2094,68342770.00,80663,2.44,0.59,-0.14
18-August-2023,20.80,20.94,20.53,20.58,20.614866648041506395,2068886,1318,42649809.00,358758,17.34,0.41,-0.22
17-August-2023,20.42,20.99,20.42,20.59,20.639713899314364791,381544,810,7874959.00,107006,28.05,0.57,0.17
16-August-2023,20.30,20.84,20.20,20.44,20.486585151301900070,90944,326,1863132.00,50210,55.21,0.64,0.14
14-August-2023,20.11,20.69,19.86,20.22,20.139898220479076853,154255,322,3106680.00,100733,65.30,0.83,0.11
11-August-2023,20.61,21.15,20.35,20.43,20.682927286356821589,213440,734,4414564.00,99410,46.58,0.80,-0.18
10-August-2023,20.35,21.30,20.35,20.74,20.941919069383151585,762505,1606,15968318.00,262748,34.46,0.95,0.39
9-August-2023,20.11,20.43,20.11,20.35,20.331374839975625981,178879,466,3636856.00,127597,71.33,0.32,0.24
8-August-2023,20.53,20.84,20.15,20.37,20.451937117939111957,99297,335,2030816.00,38894,39.17,0.69,-0.16
7-August-2023,20.48,21.38,20.40,20.72,20.859579989327083049,477845,1268,9967646.00,175976,36.83,0.98,0.24
4-August-2023,20.24,20.81,20.24,20.48,20.511140157448888977,200446,545,4111376.00,77807,38.82,0.57,0.24
3-August-2023,20.10,20.42,19.90,20.24,20.125552499665699302,276697,714,5568680.00,93747,33.88,0.52,0.14
2-August-2023,20.10,21.54,19.71,20.15,20.869570528281335096,1285300,1686,26823659.00,706629,54.98,1.83,0.05
