Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-August-2023,310.85,310.85,297.85,299.10,301.344897240883284619,65347,4076,19691985.00,36605,56.02,13.00,-11.75
25-August-2023,299.95,314.00,296.95,307.70,306.698843969866298667,44203,2508,13557009.00,14752,33.37,17.05,7.75
24-August-2023,317.05,323.15,291.15,297.15,302.162068298015281083,87821,4571,26536175.00,50296,57.27,32.00,-19.90
23-August-2023,288.85,318.05,288.10,312.90,308.570512786663639195,378754,12603,116872316.00,118212,31.21,29.95,24.05
22-August-2023,252.05,298.00,252.05,285.80,280.499618643585433323,263533,10837,73920906.00,67091,25.46,45.95,33.75
21-August-2023,234.90,257.40,234.70,250.10,249.874500087171061320,189283,9305,47296995.00,124336,65.69,22.70,15.20
18-August-2023,234.95,241.90,230.05,231.70,236.155694227769110764,38460,1613,9082548.00,18785,48.84,11.85,-3.25
17-August-2023,235.05,237.95,228.50,230.60,233.278776367398622564,64758,1994,15106667.00,53289,82.29,9.45,-4.45
16-August-2023,228.95,246.90,222.65,236.95,239.789522152870152460,48865,3025,11717315.00,28773,58.88,24.25,8.00
14-August-2023,225.05,231.15,214.55,221.05,219.922901868074811369,90521,5032,19907641.00,52851,58.39,16.60,-4.00
11-August-2023,233.05,251.00,230.00,231.65,237.495825179386823222,45990,2005,10922433.00,20068,43.64,21.00,-1.40
10-August-2023,257.15,257.25,233.15,238.40,247.054256263473487799,276005,5841,68188210.00,89783,32.53,24.10,-18.75
9-August-2023,218.00,257.70,217.30,252.05,247.215767656812248641,566920,12049,140151563.00,90333,15.93,40.40,34.05
8-August-2023,235.50,236.35,212.30,214.75,224.327411018786550564,255981,5633,57423555.00,88157,34.44,24.05,-20.75
7-August-2023,198.30,225.40,198.30,225.40,222.373862912662920382,569987,5828,126750211.00,351746,61.71,27.10,27.10
4-August-2023,186.05,196.80,186.05,187.85,192.425047917626257373,67303,2147,12950783.00,33318,49.50,10.75,1.80
3-August-2023,176.05,191.50,176.05,185.85,186.868016387720232955,54431,1579,10171413.00,27928,51.31,15.45,9.80
2-August-2023,191.50,198.45,184.25,187.05,193.503631061830203748,53841,2047,10418429.00,20689,38.43,14.20,-4.45
1-August-2023,190.70,192.45,188.20,190.20,189.868080612514300800,34089,1203,6472413.00,21194,62.17,4.25,-0.50
31-July-2023,190.00,196.00,185.90,189.95,191.634414728068787255,94785,2117,18164068.00,54544,57.54,10.10,-0.05
28-July-2023,189.60,189.60,184.75,186.70,186.910578474302834754,8678,329,1622010.00,3618,41.69,4.85,-2.90
27-July-2023,187.70,193.20,184.45,186.60,189.275898311765092294,30446,810,5762694.00,8459,27.78,8.75,-1.10
26-July-2023,187.45,187.45,182.50,182.90,184.235539309991022188,15594,398,2872969.00,9298,59.63,4.95,-4.55
25-July-2023,190.90,197.00,183.15,184.85,191.554418108767115173,101299,2290,19404271.00,45701,45.11,13.85,-6.05
24-July-2023,178.85,193.80,178.85,189.40,189.712451077654343868,91727,1785,17401754.00,28378,30.94,14.95,10.55
21-July-2023,182.25,186.50,177.95,180.70,182.436947363162539756,60053,1796,10955886.00,30962,51.56,8.55,-1.55
20-July-2023,181.30,187.65,180.10,182.25,184.356714713857571000,56056,1261,10334300.00,22582,40.28,7.55,0.95
19-July-2023,165.05,182.50,164.00,181.25,177.867249977867618850,135548,3077,24109550.00,84324,62.21,18.50,16.20
18-July-2023,170.05,170.70,167.00,168.55,168.251762266758811333,14470,530,2434603.00,9767,67.50,3.70,-1.50
17-July-2023,169.20,172.40,168.55,169.75,170.560292570512499373,19961,593,3404554.00,11135,55.78,3.85,0.55
14-July-2023,168.55,170.05,166.95,168.65,168.307589045999642026,11174,416,1880669.00,6692,59.89,3.10,0.10
13-July-2023,169.70,170.95,166.40,167.75,169.067738897341157719,13803,627,2333642.00,6574,47.63,4.55,-1.95
12-July-2023,166.90,173.00,166.90,168.55,169.807284355014818281,12822,563,2177269.00,8041,62.71,6.10,1.65
11-July-2023,170.05,172.30,168.00,168.75,169.781287921689183722,24722,748,4197333.00,14715,59.52,4.30,-1.30
10-July-2023,169.75,172.55,168.50,169.65,170.867155870445344129,7904,380,1350534.00,3598,45.52,4.05,-0.10
7-July-2023,172.70,173.35,167.70,169.45,170.631819274212929584,29127,865,4969993.00,16716,57.39,5.65,-3.25
6-July-2023,171.35,175.30,171.35,172.45,173.372733057588291441,25144,784,4359284.00,12841,51.07,3.95,1.10
5-July-2023,176.75,176.75,172.05,174.20,174.305899205625732517,23037,741,4015485.00,10264,44.55,4.70,-2.55
4-July-2023,174.45,177.55,171.20,173.00,174.797452348616119514,21353,731,3732450.00,10814,50.64,6.35,-1.45
3-July-2023,170.30,175.75,169.85,174.45,173.595538810634927430,23357,716,4054671.00,7529,32.23,5.90,4.15
30-June-2023,169.10,171.80,168.20,168.95,169.996119801139808415,16494,496,2803916.00,9799,59.41,3.60,-0.15
